Stanza_text,ST_Correct,Title,Author,Year,Copyrighted
Al padre de la nación,None,Unknown,Anonymous,Unknown,
"Deletreos de armonía
que ensaya inexperta mano.",None,Deletreos de armonía,"Machado, Antonio",1939,
"El gato se subió a la mesa,
comió el pan y lamió el mantel,
luego nos sentamos a la mesa
y nos comimos al gato.",None,Los últimos serán los primeros,"Letelier, Elías",-,Yes
"Flexiona la claridad su pie de apoyo,
se posa la luz en suelo de espejos.
Por un instante quise creer
que era mañana la muerte.",None,Al alba,"Ratón, Maeve",-,Yes
"Desconfía del que ama: tiene hambre, 
no quiere más que devorar. 
Busca la compañía de los hartos. 
Esos son los que dan.",None,Consejo de Celestina,"Castellanos, Rosario",1974,Yes
"Amigos de la sala trece
del psiquiátrico pabellón:
Esta noche cuando dormite la monja
haremos la función.",None,Octavilla,"Fuertes, Gloria",1998,Yes
"¿Un hombre decente qué legión
de exilios no puede llegar
a ser capaz de padecer
sin salir jamás de casa?",None,La industria del corazón,"Montobbio, Santiago",-,Yes
"Ausencia en todo veo:
tus ojos la reflejan.
Ausencia en todo escucho:
tu voz a tiempo suena.
Ausencia en todo aspiro:
tu aliento huele a hierba.
Ausencia en todo toco:
tu cuerpo se despuebla.
Ausencia en todo pruebo:
tu boca me destierra.
Ausencia en todo siento:
ausencia, ausencia, ausencia.",None,Ausencia en todo veo,"Hernández, Miguel",1942,Yes
"Él creía que en el espacio el hombre
tenía un sonido propio, su nombre.
Él creía que la cifra sonora del hombre
era aprehensible por su nombre,
que si se profería su nombre
era tocado interiormente el hombre.
Pero aquí no lo hemos visto
ni parado ni acostado. Nadie sabe por qué.
En esta calle donde estamos conscientes
de los límites del cuerpo,
no hemos percibido su estar,
ignoramos su ser.
La mente que desdobla las imágenes
y duplica a los durmientes
no se ha multiplicado aquí,
no tiene lugar en este espacio.
El ángel de la ubicuidad,
que se ha manifestado en todo el mundo,
que se ha desdoblado en muchos cuerpos,
no ha aparecido en este sitio.",None,Del hombre y su nombre,"Aridjis, Homero",-,Yes
"En este poema de muertos
se te murió tu padre,
se murieron tu abuelo y tu siembra
y se acabó la tarde en una mirada.
En este poema de muertos
se murió el amor de tus antiguos,
se murieron tus pájaros
y se calló la estrella de tu frente
como un puñado de rosas enfermas.
En este poema de muertos
se te murió la vida,
y por segunda vez se te murió la patria
cuando tú te quedaste mirando
como un arco iris sin color.
En este poema de muertos
se te partió la sangre en dos ríos azules,
y un esqueleto de sombras
en tus ojos de nieve
busca a pesar de todo, la libertad de tu pueblo.",None,  AZTECAL VIII,"Azuela Espinoza, Francisco",-,Yes
"Cuando llegue la luna llena 
iré a Santiago de Cuba, 
iré a Santiago, 
en un coche de agua negra. 
Iré a Santiago. 
Cantarán los techos de palmera. 
Iré a Santiago. 
Cuando la palma quiere ser cigüefla, 
iré a Santiago. 
Y cuando quiere ser medusa el plátano, 
iré a Santiago. 
Iré a Santiago 
con la rubia cabeza de Fonseca. 
Iré a Santiago. 
Y con la rosa de Romeo y Julieta 
iré a Santiago. 
¡Oh Cuba! ¡Oh ritmo de semillas secas! 
Iré a Santiago. 
¡Oh cintura caliente y gota de madera! 
Iré a Santiago. 
¡Arpa de troncos vivos, caimán, flor de tabaco! 
Iré a Santiago. 
Siempre he dicho que yo iría a Santiago 
en un coche de agua negra. 
Iré a Santiago. 
Brisa y alcohol en las ruedas, 
iré a Santiago. 
Mi coral en la tiniebla, 
iré a Santiago. 
El mar ahogado en la arena, 
iré a Santiago, 
calor blanco, fruta muerta, 
iré a Santiago. 
¡Oh bovino frescor de calaveras! 
¡Oh Cuba! ¡Oh curva de suspiro y barro! 
Iré a Santiago.",None,Son de negros en Cuba,"García Lorca, Federico",1936,
"Hoja solitaria y mustia,
que de tu árbol arrancada,
por el viento arrebatada
triste murmurando vas,
¿dó te diriges? —Lo ignoro,
de la encina que adornaba
este prado, y me apoyaba,
los restos mirando estás.
Bajo su sombra felice
las zagalas y pastores
cantaban, y sus amores
contenta escuchaba yo,
Nise; la joven más bella
que jamás ornó éste prado
tal vez pensando en su amado,
en el tronco se apoyó.
Mas contrastada la encina
por huracán inclemente
abatió su altiva frente
dejándose despojar.
Desde entonces cada día
raudo el viento me arrebata,
y aunque feroz me maltrata
ni aun oso quejarme dél.
Voy, de su impulso llevada,
del valle a la selva umbrosa,
do van las hojas de rosa
y las hojas de laurel.",None,Melancolía (de Arnault). Letrilla,"Heredia, José María",1839,
"la bombilla se muere,
se desangra en un suspiro lento.
(¡su exacta flor de fuego!
¡su transparencia alegre!
¡su redondez de seno!).",None,Elegía entre dos luces,"Gutiérrez Albelo, Emeterio",1959,Yes
